date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
18-05-2024,18,WANDA,Quevedo,87,160909,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
18-05-2024,19,Cupido,TINI,84,174369,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d
18-05-2024,20,Los Ángeles,Aitana,84,158483,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273272365661e2197708b89de01
18-05-2024,21,Tattoo,Loreen,89,183374,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
18-05-2024,22,Si La Calle Llama - Remix,Eladio Carrion,87,240000,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
18-05-2024,23,Ella Baila Sola,Eslabon Armado,89,165671,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
18-05-2024,24,La Bachata,Manuel Turizo,86,162637,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
18-05-2024,25,MERCHO,LiL CaKe & Migrantes,90,161451,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2739f1f8adb00c71daa8a9cb22c
18-05-2024,26,Que te vaya bien,Rvfv,77,204960,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27359b60f8a0b0bce8d5bda3ee8
18-05-2024,27,PUNTO G,Quevedo,86,151324,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
18-05-2024,28,Mi Nena Remix,Maikel Delacalle & Quevedo,82,220000,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273a354af3e42424c3e01967f5d
18-05-2024,29,Antes,Rvfv & Edu García,79,153684,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273bb37ea07bf9e4e37be3bd61c
18-05-2024,30,Hey Mor,Ozuna,91,196600,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45
18-05-2024,31,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf
18-05-2024,32,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,6,TRUE,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99
18-05-2024,33,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812
18-05-2024,34,un x100to,Grupo Frontera & Bad Bunny,99,194563,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
18-05-2024,35,Polaris,Saiko,78,192122,single,3,TRUE,https://i.scdn.co/image/ab67616d0000b273f2e189392bc20da23aad8c00
18-05-2024,36,La Fiesta,Pedro Capó,71,201044,album,10,FALSE,https://i.scdn.co/image/ab67616d0000b273bb248cd8105d63bca05e2363
18-05-2024,37,Cha Cha Cha,Käärijä,86,175161,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273e9973a2290bd5d88c6aad387
18-05-2024,38,Arranca (feat. Omega),Becky G & Omega,82,166529,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27361f698cb35bb6f6d96fd1612
18-05-2024,39,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,76,215600,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732d6016751b8ea5e66e83cd04
18-05-2024,40,Andando,Morad,67,261713,album,19,TRUE,https://i.scdn.co/image/ab67616d0000b273937ce99b134e3586d0bfdb19
18-05-2024,41,RÁPIDO,Mora,81,182857,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2732f99a0f640274d2be2bf9f71
18-05-2024,42,La Jumpa,Arcángel,87,255693,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27330326b23e30ae93d4d48165b
18-05-2024,43,MEMORIAS,Mora,82,228750,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3
18-05-2024,44,Paz,Morad,63,186000,album,19,FALSE,https://i.scdn.co/image/ab67616d0000b273937ce99b134e3586d0bfdb19
18-05-2024,45,T'as peur,Aya Nakamura,70,215284,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b27342093925d784c0ef5e6f3705
18-05-2024,46,MI DROGA,Myke Towers,81,163240,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05
18-05-2024,47,No Estuviste En Lo Malo,Morad,67,247680,album,19,FALSE,https://i.scdn.co/image/ab67616d0000b273937ce99b134e3586d0bfdb19
18-05-2024,48,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
18-05-2024,49,Las Bratz (Remix),Aissa & JC Reyes & Saiko,76,444631,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273a36330e3f5277b9f44286092
18-05-2024,50,REMIX EXCLUSIVO,Feid,88,206946,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2733ad20e909064bc0bc7152643
19-05-2024,1,Acróstico,Shakira,83,170785,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273bd6bbd68940f38c764524b63
19-05-2024,2,Supernova,Saiko,84,190909,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c3f5b9580dfc96c80705424a
19-05-2024,3,EL TONTO,Lola Indigo,83,187986,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b273daab364ac14d96679b5639aa
19-05-2024,4,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,FALSE,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
19-05-2024,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f
19-05-2024,6,Mami Chula,Jhayco & Quevedo,85,220600,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273cb950d94cb42ca9d03754578
19-05-2024,7,Classy 101,Feid & Young Miko,95,195986,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
19-05-2024,8,Clavaito,Chanel & Abraham Mateo,78,162740,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273441d55b86b1e5a3d4c3da232
19-05-2024,9,TQG,KAROL G,96,197933,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
19-05-2024,10,Yandel 150,Yandel,90,216148,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
19-05-2024,11,Nochentera,Vicco,81,202184,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27343eb3794977db60bced5ad16
19-05-2024,12,Todo Contigo,Álvaro De Luna,78,165527,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2737d45bffb03d186c1f4a47a83
19-05-2024,13,Niña Bonita,Feid & Sean Paul,88,187653,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27347b049fcbcc571271cc88d9f
19-05-2024,14,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
19-05-2024,15,PLAYA DEL INGLÉS,Quevedo,84,237525,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
19-05-2024,16,Rara Vez,Taiu & Milo j,92,128677,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100
19-05-2024,17,Cupido,TINI,84,174369,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d
19-05-2024,18,Coco Chanel,Eladio Carrion,92,208125,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
19-05-2024,19,WANDA,Quevedo,87,160909,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
19-05-2024,20,Si La Calle Llama - Remix,Eladio Carrion,87,240000,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
19-05-2024,21,Los Ángeles,Aitana,84,158483,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273272365661e2197708b89de01
19-05-2024,22,Ella Baila Sola,Eslabon Armado,89,165671,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
19-05-2024,23,Tattoo,Loreen,90,183374,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
19-05-2024,24,La Bachata,Manuel Turizo,86,162637,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
19-05-2024,25,MERCHO,LiL CaKe & Migrantes,90,161451,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2739f1f8adb00c71daa8a9cb22c
19-05-2024,26,Mi Nena Remix,Maikel Delacalle & Quevedo,82,220000,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273a354af3e42424c3e01967f5d
19-05-2024,27,PUNTO G,Quevedo,86,151324,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
19-05-2024,28,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,77,215600,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732d6016751b8ea5e66e83cd04
19-05-2024,29,Que te vaya bien,Rvfv,77,204960,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27359b60f8a0b0bce8d5bda3ee8
19-05-2024,30,Hey Mor,Ozuna,91,196600,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45
19-05-2024,31,Antes,Rvfv & Edu García,79,153684,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273bb37ea07bf9e4e37be3bd61c
19-05-2024,32,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812
19-05-2024,33,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf
19-05-2024,34,Andando,Morad,69,261713,album,19,TRUE,https://i.scdn.co/image/ab67616d0000b273937ce99b134e3586d0bfdb19
19-05-2024,35,La Fiesta,Pedro Capó,73,201044,album,10,FALSE,https://i.scdn.co/image/ab67616d0000b273bb248cd8105d63bca05e2363
19-05-2024,36,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,6,TRUE,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99
19-05-2024,37,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
19-05-2024,38,Polaris,Saiko,78,192122,single,3,TRUE,https://i.scdn.co/image/ab67616d0000b273f2e189392bc20da23aad8c00
19-05-2024,39,Arranca (feat. Omega),Becky G & Omega,83,166529,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27361f698cb35bb6f6d96fd1612
19-05-2024,40,La Jumpa,Arcángel,87,255693,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27330326b23e30ae93d4d48165b
19-05-2024,41,MEMORIAS,Mora,82,228750,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3
19-05-2024,42,RÁPIDO,Mora,81,182857,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2732f99a0f640274d2be2bf9f71
19-05-2024,43,Cha Cha Cha,Käärijä,87,175161,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273e9973a2290bd5d88c6aad387
19-05-2024,44,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
19-05-2024,45,T'as peur,Aya Nakamura,70,215284,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b27342093925d784c0ef5e6f3705
19-05-2024,46,Las Bratz (Remix),Aissa & JC Reyes & Saiko,76,444631,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273a36330e3f5277b9f44286092
19-05-2024,47,Paz,Morad,65,186000,album,19,FALSE,https://i.scdn.co/image/ab67616d0000b273937ce99b134e3586d0bfdb19
19-05-2024,48,REMIX EXCLUSIVO,Feid,88,206946,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2733ad20e909064bc0bc7152643
19-05-2024,49,No Estuviste En Lo Malo,Morad,68,247680,album,19,FALSE,https://i.scdn.co/image/ab67616d0000b273937ce99b134e3586d0bfdb19
19-05-2024,50,MI DROGA,Myke Towers,80,163240,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05
20-05-2024,1,Acróstico,Shakira,85,170785,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273bd6bbd68940f38c764524b63
20-05-2024,2,Supernova,Saiko,84,190909,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c3f5b9580dfc96c80705424a
20-05-2024,3,EL TONTO,Lola Indigo,83,187986,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b273daab364ac14d96679b5639aa
20-05-2024,4,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,FALSE,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
20-05-2024,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f
20-05-2024,6,Mami Chula,Jhayco & Quevedo,85,220600,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273cb950d94cb42ca9d03754578
20-05-2024,7,Classy 101,Feid & Young Miko,95,195986,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
20-05-2024,8,Clavaito,Chanel & Abraham Mateo,79,162740,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273441d55b86b1e5a3d4c3da232
20-05-2024,9,TQG,KAROL G,96,197933,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
20-05-2024,10,Yandel 150,Yandel,90,216148,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
20-05-2024,11,Nochentera,Vicco,81,202184,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27343eb3794977db60bced5ad16
20-05-2024,12,Todo Contigo,Álvaro De Luna,78,165527,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2737d45bffb03d186c1f4a47a83
20-05-2024,13,Niña Bonita,Feid & Sean Paul,88,187653,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27347b049fcbcc571271cc88d9f
20-05-2024,14,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
20-05-2024,15,Rara Vez,Taiu & Milo j,92,128677,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100
20-05-2024,16,PLAYA DEL INGLÉS,Quevedo,84,237525,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
20-05-2024,17,Cupido,TINI,84,174369,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d
20-05-2024,18,Coco Chanel,Eladio Carrion,92,208125,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
20-05-2024,19,WANDA,Quevedo,87,160909,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
20-05-2024,20,Si La Calle Llama - Remix,Eladio Carrion,86,240000,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
20-05-2024,21,Los Ángeles,Aitana,84,158483,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273272365661e2197708b89de01
20-05-2024,22,Ella Baila Sola,Eslabon Armado,90,165671,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
20-05-2024,23,La Bachata,Manuel Turizo,86,162637,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
20-05-2024,24,MERCHO,LiL CaKe & Migrantes,90,161451,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2739f1f8adb00c71daa8a9cb22c
20-05-2024,25,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,78,215600,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732d6016751b8ea5e66e83cd04
20-05-2024,26,Mi Nena Remix,Maikel Delacalle & Quevedo,82,220000,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273a354af3e42424c3e01967f5d
20-05-2024,27,PUNTO G,Quevedo,86,151324,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
20-05-2024,28,Tattoo,Loreen,90,183374,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
20-05-2024,29,Que te vaya bien,Rvfv,77,204960,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27359b60f8a0b0bce8d5bda3ee8
20-05-2024,30,La Fiesta,Pedro Capó,73,201044,album,10,FALSE,https://i.scdn.co/image/ab67616d0000b273bb248cd8105d63bca05e2363
20-05-2024,31,Hey Mor,Ozuna,91,196600,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45
20-05-2024,32,Antes,Rvfv & Edu García,79,153684,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273bb37ea07bf9e4e37be3bd61c
20-05-2024,33,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf
20-05-2024,34,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
20-05-2024,35,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812
20-05-2024,36,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,6,TRUE,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99
20-05-2024,37,Andando,Morad,70,261713,album,19,TRUE,https://i.scdn.co/image/ab67616d0000b273937ce99b134e3586d0bfdb19
20-05-2024,38,Polaris,Saiko,78,192122,single,3,TRUE,https://i.scdn.co/image/ab67616d0000b273f2e189392bc20da23aad8c00
20-05-2024,39,Arranca (feat. Omega),Becky G & Omega,83,166529,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27361f698cb35bb6f6d96fd1612
20-05-2024,40,La Jumpa,Arcángel,87,255693,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27330326b23e30ae93d4d48165b
20-05-2024,41,MEMORIAS,Mora,82,228750,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b273851222dc5c5681bd4c3119d3
20-05-2024,42,RÁPIDO,Mora,82,182857,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2732f99a0f640274d2be2bf9f71
20-05-2024,43,REMIX EXCLUSIVO,Feid,88,206946,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2733ad20e909064bc0bc7152643
20-05-2024,44,Las Bratz (Remix),Aissa & JC Reyes & Saiko,76,444631,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273a36330e3f5277b9f44286092
20-05-2024,45,T'as peur,Aya Nakamura,70,215284,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b27342093925d784c0ef5e6f3705
20-05-2024,46,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
20-05-2024,47,Paz,Morad,66,186000,album,19,FALSE,https://i.scdn.co/image/ab67616d0000b273937ce99b134e3586d0bfdb19
20-05-2024,48,Cha Cha Cha,Käärijä,88,175161,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273e9973a2290bd5d88c6aad387
20-05-2024,49,No Estuviste En Lo Malo,Morad,69,247680,album,19,FALSE,https://i.scdn.co/image/ab67616d0000b273937ce99b134e3586d0bfdb19
20-05-2024,50,MI DROGA,Myke Towers,80,163240,album,23,TRUE,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05
21-05-2024,1,WHERE SHE GOES,Bad Bunny,82,231704,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1
21-05-2024,2,Acróstico,Shakira,86,170785,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273bd6bbd68940f38c764524b63
21-05-2024,3,Supernova,Saiko,84,190909,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c3f5b9580dfc96c80705424a
21-05-2024,4,EL TONTO,Lola Indigo,83,187986,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b273daab364ac14d96679b5639aa
21-05-2024,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f
21-05-2024,6,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,FALSE,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
21-05-2024,7,Mami Chula,Jhayco & Quevedo,85,220600,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273cb950d94cb42ca9d03754578
21-05-2024,8,Classy 101,Feid & Young Miko,95,195986,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
21-05-2024,9,Clavaito,Chanel & Abraham Mateo,79,162740,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273441d55b86b1e5a3d4c3da232
21-05-2024,10,Yandel 150,Yandel,90,216148,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
21-05-2024,11,Nochentera,Vicco,81,202184,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27343eb3794977db60bced5ad16
21-05-2024,12,TQG,KAROL G,96,197933,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
21-05-2024,13,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
21-05-2024,14,Todo Contigo,Álvaro De Luna,78,165527,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2737d45bffb03d186c1f4a47a83
21-05-2024,15,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,79,215600,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732d6016751b8ea5e66e83cd04
21-05-2024,16,Rara Vez,Taiu & Milo j,92,128677,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100
21-05-2024,17,Coco Chanel,Eladio Carrion,92,208125,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
21-05-2024,18,Arena y Sal,Omar Montes & Saiko & Tunvao,59,174415,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273e78ae3c73af7c17be0c05cb2
21-05-2024,19,PLAYA DEL INGLÉS,Quevedo,84,237525,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
21-05-2024,20,Cupido,TINI,84,174369,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d
21-05-2024,21,WANDA,Quevedo,87,160909,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
21-05-2024,22,La Bachata,Manuel Turizo,86,162637,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
21-05-2024,23,Ella Baila Sola,Eslabon Armado,90,165671,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
21-05-2024,24,Si La Calle Llama - Remix,Eladio Carrion,86,240000,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0
21-05-2024,25,Niña Bonita,Feid & Sean Paul,88,187653,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27347b049fcbcc571271cc88d9f
21-05-2024,26,Los Ángeles,Aitana,83,158483,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273272365661e2197708b89de01
21-05-2024,27,PUNTO G,Quevedo,86,151324,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0
